[16:21:26] [[748,0,1,5,1,5,0,0,0,2,6,45.0127,-90.0017,89.9955,-89.9808,-89.9959,0.00961304,3,6,-347.277,-553.394,206.48,0.013047,-0.00411768,-44.9969,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[749,0,1,5,1,5,0,0,0,2,6,45.013,-89.9993,89.9962,-89.9791,-89.9969,0.011673,3,6,-347.272,-553.378,206.437,0.0178534,-0.00308627,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[750,0,1,5,1,5,0,0,0,2,6,45.013,-89.9993,89.9962,-89.9791,-89.9969,0.011673,3,6,-347.272,-553.378,206.437,0.0178534,-0.00308627,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[751,0,1,5,1,5,0,0,0,2,6,45.0096,-90.0031,89.9962,-89.9794,-89.9979,0.0109863,3,6,-347.308,-553.354,206.481,0.0137333,-0.0020573,-45.0014,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[752,0,1,5,1,5,0,0,0,2,6,45.0096,-90.0031,89.9962,-89.9794,-89.9979,0.0109863,3,6,-347.308,-553.354,206.481,0.0137333,-0.0020573,-45.0014,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[753,0,1,5,1,5,0,0,0,2,6,45.0124,-89.9993,89.9973,-89.9801,-89.9962,0.0109863,3,6,-347.274,-553.378,206.431,0.0178535,-0.00377313,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[754,0,1,5,1,5,0,0,0,2,6,45.0124,-89.9993,89.9973,-89.9801,-89.9962,0.0109863,3,6,-347.274,-553.378,206.431,0.0178535,-0.00377313,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[755,0,1,5,1,5,0,0,0,2,6,45.0124,-89.9993,89.9973,-89.9801,-89.9962,0.0109863,3,6,-347.274,-553.378,206.431,0.0178535,-0.00377313,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[756,0,1,5,1,5,0,0,0,2,6,45.011,-89.9986,89.9928,-89.9804,-89.9945,0.0109863,3,6,-347.302,-553.4,206.474,0.013734,-0.00549053,-45,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[757,0,1,5,1,5,0,0,0,2,6,45.0093,-90.0007,89.9962,-89.9815,-89.9973,0.0102997,3,6,-347.318,-553.367,206.464,0.0140767,-0.00274405,-45.001,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
